Removed Pin From Net: NetName=+3.3V Pin=IC1-1
Removed Pin From Net: NetName=GND Pin=IC1-2
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=PHASE_A Pin=IC1-4
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Pin From Net: NetName=A_VSS_H Pin=IC1-5
Removed Member From Class: ClassName=Power Member=IC1
